id,category,firm_name,hq_address,city,state,difficulty_level,cost_level,required_capital_usd,entry_barrier,role_in_ipo,typical_check_size,focus_stage,round_stage,website,notes,sector_focus,valuation_increase_rate,equity_dilution_rate,success_modifier,reputation_effect,growth_speed_effect,player_requirement,logo_url,bg_color,accent_color,description,quote_style_line,lat,lng
1,Angel,Techstars NYC,"335 Madison Ave, New York, NY 10017",New York,NY,2,1,$10K–$150K,"Cohort application, MVP or clear concept",Incubation / Seed,$20K–$120K,Pre-Seed–Seed,Pre-Seed,https://www.techstars.com,Mentorship + early cheque; accelerates MVP and market testing.,General,1.2,0.1,5,3,4,"Founding team, prototype/MVP",/assets/logos/techstars_nyc.png,#1E88E5,#BBDEFB,Techstars NYC is a angel player in NYC.,Every deal is a story of risk and ambition.,40.753622050000004,-73.97807333162774
2,Angel,ERA (Entrepreneurs Roundtable Accelerator),"415 Madison Ave, 16th Floor, New York, NY 10017",New York,NY,2,1,$10K–$150K,"Cohort application, MVP or clear concept",Incubation / Seed,$20K–$120K,Pre-Seed–Seed,Pre-Seed,https://eranyc.com,Mentorship + early cheque; accelerates MVP and market testing.,General,1.2,0.1,5,3,4,"Founding team, prototype/MVP",/assets/logos/era_(entrepreneurs_roundtable_accelerator).png,#1E88E5,#BBDEFB,ERA (Entrepreneurs Roundtable Accelerator) is a angel player in NYC.,Every deal is a story of risk and ambition.,40.756664150000006,-73.97605029331174
3,Angel,New York Angels,"589 8th Ave, 16th Floor, New York, NY 10018",New York,NY,2,1,$10K–$150K,"Cohort application, MVP or clear concept",Incubation / Seed,$20K–$120K,Pre-Seed–Seed,Pre-Seed,https://newyorkangels.com,Mentorship + early cheque; accelerates MVP and market testing.,General,1.2,0.1,5,3,4,"Founding team, prototype/MVP",/assets/logos/new_york_angels.png,#1E88E5,#BBDEFB,New York Angels is a angel player in NYC.,Every deal is a story of risk and ambition.,40.7552744,-73.991443
4,Angel,BoxGroup,"520 Broadway, New York, NY 10012",New York,NY,2,1,$10K–$150K,"Cohort application, MVP or clear concept",Incubation / Seed,$20K–$120K,Pre-Seed–Seed,Pre-Seed,https://boxgroup.com,Mentorship + early cheque; accelerates MVP and market testing.,General,1.2,0.1,5,3,4,"Founding team, prototype/MVP",/assets/logos/boxgroup.png,#1E88E5,#BBDEFB,BoxGroup is a angel player in NYC.,Every deal is a story of risk and ambition.,40.722655700000004,-73.99874704864735
5,Angel,Joanne Wilson (Gotham Gal Ventures),"611 Broadway, New York, NY 10012",New York,NY,2,1,$10K–$150K,"Cohort application, MVP or clear concept",Incubation / Seed,$20K–$120K,Pre-Seed–Seed,Pre-Seed,https://gothamgal.com,Mentorship + early cheque; accelerates MVP and market testing.,General,1.2,0.1,5,3,4,"Founding team, prototype/MVP",/assets/logos/joanne_wilson_(gotham_gal_ventures).png,#1E88E5,#BBDEFB,Joanne Wilson (Gotham Gal Ventures) is a angel player in NYC.,Every deal is a story of risk and ambition.,40.7257607,-73.9966658
6,Angel,Antler NYC,"131 Varick St, New York, NY 10013",New York,NY,2,1,$10K–$150K,"Cohort application, MVP or clear concept",Incubation / Seed,$20K–$120K,Pre-Seed–Seed,Pre-Seed,https://antler.co,Mentorship + early cheque; accelerates MVP and market testing.,General,1.2,0.1,5,3,4,"Founding team, prototype/MVP",/assets/logos/antler_nyc.png,#1E88E5,#BBDEFB,Antler NYC is a angel player in NYC.,Every deal is a story of risk and ambition.,40.7253637,-74.0060408
7,Angel,Dorm Room Fund (NYC),"41 Cooper Sq, New York, NY 10003",New York,NY,2,1,$10K–$150K,"Cohort application, MVP or clear concept",Incubation / Seed,$20K–$120K,Pre-Seed–Seed,Pre-Seed,https://dormroomfund.com,Mentorship + early cheque; accelerates MVP and market testing.,General,1.2,0.1,5,3,4,"Founding team, prototype/MVP",/assets/logos/dorm_room_fund_(nyc).png,#1E88E5,#BBDEFB,Dorm Room Fund (NYC) is a angel player in NYC.,Every deal is a story of risk and ambition.,40.728544,-73.9902271814957
8,Angel,Gaingels,"335 Madison Ave, New York, NY 10017",New York,NY,2,1,$10K–$150K,"Cohort application, MVP or clear concept",Incubation / Seed,$20K–$120K,Pre-Seed–Seed,Pre-Seed,https://gaingels.com,Mentorship + early cheque; accelerates MVP and market testing.,General,1.2,0.1,5,3,4,"Founding team, prototype/MVP",/assets/logos/gaingels.png,#1E88E5,#BBDEFB,Gaingels is a angel player in NYC.,Every deal is a story of risk and ambition.,40.753622050000004,-73.97807333162774
9,VC,Union Square Ventures,"817 Broadway, 14th Floor, New York, NY 10003",New York,NY,4,3,$1M–$20M,"Product-market fit, traction metrics",Venture Growth,$1M–$10M,Seed–Series B,Series A,https://usv.com,Venture growth investor; increases valuation and speed.,Technology,1.4,0.15,10,8,8,"PMF signals, core KPIs trending",/assets/logos/union_square_ventures.png,#8E24AA,#E1BEE7,Union Square Ventures is a vc player in NYC.,Every deal is a story of risk and ambition.,40.7331313,-73.9912876
10,VC,Lerer Hippeau,"100 Crosby St, 3rd Floor, New York, NY 10012",New York,NY,4,3,$1M–$20M,"Product-market fit, traction metrics",Venture Growth,$1M–$10M,Seed–Series B,Series A,https://lererhippeau.com,Venture growth investor; increases valuation and speed.,Consumer,1.4,0.15,10,8,8,"PMF signals, core KPIs trending",/assets/logos/lerer_hippeau.png,#8E24AA,#E1BEE7,Lerer Hippeau is a vc player in NYC.,Every deal is a story of risk and ambition.,40.725219100000004,-73.99583275
11,VC,Insight Partners,"1114 Avenue of the Americas, 36th Floor, New York, NY 10036",New York,NY,4,3,$1M–$20M,"Product-market fit, traction metrics",Venture Growth,$1M–$10M,Seed–Series B,Series A,https://insightpartners.com,Venture growth investor; increases valuation and speed.,Technology,1.4,0.15,10,8,8,"PMF signals, core KPIs trending",/assets/logos/insight_partners.png,#8E24AA,#E1BEE7,Insight Partners is a vc player in NYC.,Every deal is a story of risk and ambition.,40.754691449999996,-73.98267463742384
